order_date,category,brand,sales_amount,quantity,review_count,review_score
2024-01-01,상의,코드그라피,55389.0,7,50,4.5
2024-01-02,잡화/신발,코드그라피,76884.0,1,47,4.0
2024-01-03,바지,디스이즈네버댓,56365.0,4,45,4.5
2024-01-04,상의,쿠어,57241.0,6,42,5.0
2024-01-05,아우터,커버낫,106665.0,2,35,4.0
2024-01-06,아우터,디스이즈네버댓,236521.0,5,50,3.5
2024-01-07,아우터,커버낫,,1,49,3.0
2024-01-08,잡화/신발,커버낫,,6,40,4.5
2024-01-09,바지,쿠어,56129.0,6,51,4.5
2024-01-10,바지,커버낫,64373.0,4,40,
2024-01-11,아우터,커버낫,225760.0,8,42,4.0
2024-01-12,잡화/신발,쿠어,98104.0,4,56,4.0
2024-01-13,바지,커버낫,71404.0,8,60,4.5
2024-01-14,아우터,커버낫,183199.0,8,38,4.5
2024-01-15,아우터,커버낫,127958.0,5,54,5.0
2024-01-16,아우터,디스이즈네버댓,2500000.0,4,52,3.5
2024-01-17,상의,디스이즈네버댓,41911.0,2,49,4.5
2024-01-18,상의,디스이즈네버댓,49119.0,3,40,4.5
2024-01-19,상의,쿠어,45626.0,3,59,4.5
2024-01-20,상의,코드그라피,53851.0,4,38,4.5
2024-01-21,바지,커버낫,71157.0,4,56,4.5
2024-01-22,아우터,커버낫,181956.0,5,49,5.0
2024-01-23,상의,쿠어,65481.0,4,59,3.5
2024-01-24,상의,커버낫,48656.0,8,53,3.5
2024-01-25,상의,디스이즈네버댓,41112.0,6,41,4.5
2024-01-26,바지,코드그라피,89179.0,6,39,4.5
2024-01-27,아우터,라퍼지스토어,223214.0,8,33,4.0
2024-01-28,상의,커버낫,61344.0,7,42,3.5
2024-01-29,상의,디스이즈네버댓,44001.0,8,32,3.5
2024-01-30,아우터,라퍼지스토어,215147.0,2,46,5.0
2024-01-31,바지,코드그라피,46112.0,9,41,4.0
2024-02-01,아우터,라퍼지스토어,208224.0,1,54,4.0
2024-02-02,아우터,디스이즈네버댓,174321.0,8,39,4.0
2024-02-03,잡화/신발,라퍼지스토어,61964.0,4,54,4.0
2024-02-04,잡화/신발,쿠어,102554.0,4,54,3.5
2024-02-05,바지,라퍼지스토어,41468.0,5,58,4.5
2024-02-06,상의,커버낫,27785.0,8,51,3.5
2024-02-07,아우터,커버낫,193049.0,5,45,5.0
2024-02-08,바지,쿠어,72427.0,8,51,4.0
2024-02-09,상의,디스이즈네버댓,,1,43,4.5
2024-02-10,아우터,커버낫,,9,39,5.0
2024-02-11,상의,코드그라피,,6,42,4.5
2024-02-12,아우터,커버낫,205208.0,3,41,4.5
2024-02-13,잡화/신발,커버낫,82750.0,8,28,4.0
2024-02-14,상의,디스이즈네버댓,44337.0,9,43,4.0
2024-02-15,바지,라퍼지스토어,61331.0,6,51,4.5
2024-02-16,상의,커버낫,47659.0,7,43,5.0
2024-02-17,상의,쿠어,35123.0,1,59,4.5
2024-02-18,상의,라퍼지스토어,48068.0,5,47,4.5
2024-02-19,아우터,코드그라피,176889.0,5,59,4.5
2024-02-20,잡화/신발,디스이즈네버댓,89685.0,4,47,4.5
2024-02-21,바지,코드그라피,68623.0,6,39,3.5
2024-02-22,잡화/신발,라퍼지스토어,43311.0,7,39,4.5
2024-02-23,잡화/신발,라퍼지스토어,69678.0,9,51,5.0
2024-02-24,상의,라퍼지스토어,44022.0,1,43,4.0
2024-02-25,잡화/신발,코드그라피,84056.0,6,49,4.5
2024-02-26,아우터,라퍼지스토어,189338.0,7,52,4.0
2024-02-27,아우터,코드그라피,190884.0,3,39,4.5
2024-02-28,아우터,라퍼지스토어,234584.0,8,47,3.5
2024-02-29,상의,쿠어,47812.0,5,40,4.5
2024-03-01,상의,라퍼지스토어,42182.0,9,53,4.5
2024-03-02,상의,코드그라피,30607.0,5,48,
2024-03-03,바지,커버낫,47208.0,9,34,4.5
2024-03-04,상의,라퍼지스토어,49819.0,4,42,4.5
2024-03-05,상의,커버낫,54544.0,9,50,5.0
2024-03-06,상의,쿠어,58872.0,5,33,4.0
2024-03-07,아우터,디스이즈네버댓,150195.0,9,49,4.0
2024-03-08,바지,쿠어,61049.0,3,53,4.0
2024-03-09,아우터,라퍼지스토어,188724.0,4,45,5.0
2024-03-10,잡화/신발,커버낫,119805.0,9,52,5.0
2024-03-11,바지,커버낫,66493.0,6,49,4.5
2024-03-12,아우터,코드그라피,235845.0,2,40,5.0
2024-03-13,아우터,커버낫,186119.0,7,51,4.5
2024-03-14,바지,코드그라피,79992.0,2,49,4.5
2024-03-15,바지,디스이즈네버댓,78345.0,2,49,3.5
2024-03-16,바지,라퍼지스토어,67159.0,1,47,4.5
2024-03-17,바지,코드그라피,51735.0,3,54,3.5
2024-03-18,아우터,디스이즈네버댓,170312.0,6,52,5.0
2024-03-19,상의,커버낫,58401.0,8,42,4.5
2024-03-20,아우터,커버낫,211601.0,9,37,4.5
2024-03-21,잡화/신발,디스이즈네버댓,77627.0,7,52,3.0
2024-03-22,바지,커버낫,60549.0,4,48,4.0
2024-03-23,상의,디스이즈네버댓,29422.0,6,48,4.0
2024-03-24,아우터,코드그라피,231996.0,5,51,4.0
2024-03-25,상의,코드그라피,52974.0,8,50,3.5
2024-03-26,상의,디스이즈네버댓,43766.0,1,63,5.0
2024-03-27,바지,코드그라피,67601.0,1,49,4.5
2024-03-28,바지,코드그라피,36778.0,6,41,4.0
2024-03-29,잡화/신발,코드그라피,76725.0,2,850,4.0
2024-03-30,상의,쿠어,57010.0,5,42,4.5
2024-03-31,아우터,라퍼지스토어,215335.0,1,50,4.5
2024-04-01,바지,커버낫,69299.0,7,50,4.5
2024-04-02,바지,쿠어,64808.0,1,45,
2024-04-03,상의,코드그라피,52167.0,4,49,4.5
2024-04-04,바지,디스이즈네버댓,61341.0,9,43,5.0
2024-04-05,상의,코드그라피,30017.0,1,37,
2024-04-06,상의,라퍼지스토어,44944.0,4,49,4.0
2024-04-07,상의,코드그라피,48628.0,6,34,5.0
2024-04-08,아우터,디스이즈네버댓,220416.0,6,48,3.5
2024-04-09,아우터,라퍼지스토어,128116.0,8,60,5.0
2024-04-10,아우터,코드그라피,175575.0,1,44,4.0
2024-04-11,바지,라퍼지스토어,64021.0,7,43,5.0
2024-04-12,상의,커버낫,35088.0,1,43,5.0
2024-04-13,상의,커버낫,49389.0,7,55,5.0
2024-04-14,잡화/신발,코드그라피,97705.0,3,39,4.5
2024-04-15,아우터,라퍼지스토어,169535.0,8,48,4.0
2024-04-16,상의,디스이즈네버댓,63495.0,3,54,3.5
2024-04-17,바지,코드그라피,60848.0,1,65,4.5
2024-04-18,아우터,커버낫,163919.0,8,54,
2024-04-19,아우터,커버낫,162875.0,3,50,4.5
2024-04-20,상의,코드그라피,37660.0,2,36,4.0
2024-04-21,아우터,라퍼지스토어,159875.0,1,57,5.0
2024-04-22,잡화/신발,커버낫,60620.0,3,51,4.5
2024-04-23,바지,라퍼지스토어,62510.0,2,36,5.0
2024-04-24,바지,커버낫,65747.0,2,49,3.5
2024-04-25,잡화/신발,커버낫,46192.0,6,38,5.0
2024-04-26,바지,쿠어,63674.0,1,32,5.0
2024-04-27,아우터,커버낫,181516.0,2,40,4.5
2024-04-28,잡화/신발,디스이즈네버댓,93748.0,6,41,4.5
2024-04-29,상의,코드그라피,55841.0,3,43,4.5
2024-04-30,바지,코드그라피,76067.0,4,47,4.0
2024-05-01,잡화/신발,라퍼지스토어,74453.0,1,49,4.5
2024-05-02,상의,커버낫,38372.0,8,51,4.0
2024-05-03,아우터,디스이즈네버댓,200862.0,7,45,3.5
2024-05-04,아우터,라퍼지스토어,160297.0,7,37,4.0
2024-05-05,상의,쿠어,33947.0,3,47,3.5
2024-05-06,바지,라퍼지스토어,95863.0,3,46,3.0
2024-05-07,잡화/신발,라퍼지스토어,79717.0,2,41,3.5
2024-05-08,아우터,커버낫,157445.0,1,34,5.0
2024-05-09,상의,쿠어,,7,26,4.5
2024-05-10,상의,라퍼지스토어,52662.0,7,43,5.0
2024-05-11,아우터,디스이즈네버댓,144434.0,2,46,4.5
2024-05-12,아우터,디스이즈네버댓,181030.0,7,51,4.0
2024-05-13,상의,코드그라피,53717.0,8,37,4.5
2024-05-14,잡화/신발,쿠어,68471.0,1,48,4.5
2024-05-15,상의,쿠어,45715.0,9,30,3.5
2024-05-16,상의,코드그라피,58714.0,7,49,4.5
2024-05-17,바지,라퍼지스토어,33062.0,3,49,4.0
2024-05-18,상의,쿠어,37705.0,8,42,4.5
2024-05-19,잡화/신발,디스이즈네버댓,69622.0,7,46,4.5
2024-05-20,잡화/신발,디스이즈네버댓,81822.0,8,44,4.0
2024-05-21,상의,커버낫,44569.0,6,45,3.5
2024-05-22,상의,쿠어,35448.0,9,33,4.5
2024-05-23,상의,라퍼지스토어,39110.0,5,40,4.5
2024-05-24,상의,코드그라피,38040.0,3,54,3.5
2024-05-25,아우터,코드그라피,167371.0,3,38,5.0
2024-05-26,바지,라퍼지스토어,67836.0,1,48,3.5
2024-05-27,상의,커버낫,53195.0,8,46,4.5
2024-05-28,아우터,코드그라피,217991.0,2,38,5.0
2024-05-29,상의,쿠어,50882.0,3,33,4.0
2024-05-30,잡화/신발,커버낫,70142.0,8,40,3.5
2024-05-31,아우터,쿠어,179881.0,8,54,3.5
2024-06-01,아우터,디스이즈네버댓,265475.0,4,50,4.0
2024-06-02,상의,커버낫,54130.0,4,42,3.5
2024-06-03,잡화/신발,코드그라피,77511.0,5,54,4.5
2024-06-04,아우터,커버낫,236953.0,6,44,3.5
2024-06-05,바지,커버낫,59955.0,5,45,
2024-06-06,바지,커버낫,56310.0,7,55,5.0
2024-06-07,아우터,커버낫,230246.0,2,40,5.0
