Date,Department,Traffic_Type,Protocol,Traffic_GB,Session_Count,Response_Time_MS
2026-01-01,,Outbound,HTTPS,42.05,1972,59.2
2026-01-02,마케팅팀,Inbound,DB Query,38.11,1217,39.3
2026-01-03,경영지원팀,Inbound,SFTP,48.39,1204,36.7
2026-01-04,디자인팀,Outbound,API Call,34.47,1192,49.7
2026-01-05,개발팀,Outbound,HTTPS,41.7,1259,39.5
2026-01-06,개발팀,Inbound,API Call,32.03,1156,51.3
2026-01-07,개발팀,Inbound,HTTPS,79.47,1027,47.0
2026-01-08,마케팅팀,Outbound,HTTPS,50.53,1035,29.8
2026-01-09,디자인팀,Inbound,DB Query,39.5,1190,60.5
2026-01-10,경영지원팀,Inbound,HTTPS,53.21,1036,63.0
2026-01-11,개발팀,Inbound,HTTPS,48.32,986,38.9
2026-01-12,마케팅팀,Outbound,DB Query,46.69,1231,41.1
2026-01-13,경영지원팀,Outbound,DB Query,59.21,1123,47.9
2026-01-14,개발팀,Inbound,SFTP,61.36,1651,48.3
2026-01-15,개발팀,Outbound,SFTP,42.04,404,51.6
2026-01-16,,Outbound,HTTPS,,1527,65.1
2026-01-17,영업팀,Inbound,HTTPS,45.87,1573,43.2
2026-01-18,영업팀,Outbound,HTTPS,15.47,577,37.0
2026-01-19,영업팀,Outbound,SFTP,27.27,1097,31.2
2026-01-20,개발팀,Outbound,API Call,70.5,1088,37.7
2026-01-21,디자인팀,Outbound,API Call,74.67,777,44.7
2026-01-22,개발팀,Inbound,API Call,46.26,966,62.9
2026-01-23,개발팀,Inbound,HTTPS,58.65,866,39.8
2026-01-24,영업팀,Inbound,HTTPS,54.67,1725,47.2
2026-01-25,영업팀,Inbound,HTTPS,96.18,1480,44.8
2026-01-26,경영지원팀,Inbound,SFTP,66.79,1581,56.9
2026-01-27,개발팀,Outbound,HTTPS,48.08,1416,70.3
2026-01-28,영업팀,Inbound,API Call,35.67,861,39.7
2026-01-29,디자인팀,Outbound,HTTPS,25.9,1042,40.1
2026-01-30,개발팀,Outbound,HTTPS,53.05,1346,55.4
2026-01-31,디자인팀,Outbound,HTTPS,38.65,833,51.8
2026-02-01,개발팀,Inbound,API Call,28.67,1413,63.5
2026-02-02,개발팀,Inbound,SFTP,40.3,1127,50.8
2026-02-03,마케팅팀,Inbound,HTTPS,33.78,1087,41.4
2026-02-04,마케팅팀,Inbound,HTTPS,75.31,1413,50.9
2026-02-05,경영지원팀,Outbound,API Call,,1333,56.1
2026-02-06,영업팀,Inbound,HTTPS,49.88,1091,53.2
2026-02-07,개발팀,Inbound,API Call,72.2,1547,50.1
2026-02-08,디자인팀,Outbound,API Call,51.16,875,55.7
2026-02-09,영업팀,Inbound,HTTPS,37.08,1384,56.7
2026-02-10,개발팀,Outbound,HTTPS,72.85,1377,58.8
2026-02-11,영업팀,Outbound,DB Query,58.08,1107,51.5
2026-02-12,개발팀,Outbound,HTTPS,34.44,1297,43.3
2026-02-13,마케팅팀,Inbound,HTTPS,47.14,824,46.5
2026-02-14,개발팀,Inbound,API Call,36.87,1477,57.1
2026-02-15,디자인팀,Outbound,DB Query,29.26,1144,36.8
2026-02-16,영업팀,Inbound,DB Query,63.89,1043,48.7
2026-02-17,영업팀,Outbound,API Call,78.64,1514,41.1
2026-02-18,영업팀,Outbound,HTTPS,29.02,988,45.3
2026-02-19,개발팀,Outbound,HTTPS,58.44,777,57.8
2026-02-20,마케팅팀,Inbound,API Call,40.24,733,46.9
2026-02-21,경영지원팀,Inbound,SFTP,42.69,1381,45.5
2026-02-22,마케팅팀,Outbound,HTTPS,41.11,815,31.4
2026-02-23,마케팅팀,Inbound,DB Query,37.04,1726,52.5
2026-02-24,디자인팀,Inbound,HTTPS,50.73,575,51.5
2026-02-25,마케팅팀,Inbound,HTTPS,37.54,1708,66.6
2026-02-26,개발팀,Outbound,HTTPS,54.06,1263,41.9
2026-02-27,개발팀,Outbound,HTTPS,49.25,1170,47.2
2026-02-28,개발팀,Inbound,HTTPS,46.42,1036,47.5
2026-03-01,영업팀,Inbound,HTTPS,36.39,1319,60.8
2026-03-02,영업팀,Outbound,HTTPS,41.35,1188,44.0
2026-03-03,,Outbound,SFTP,61.33,1530,47.8
2026-03-04,경영지원팀,Inbound,API Call,57.51,1234,51.1
2026-03-05,영업팀,Inbound,SFTP,35.34,1245,46.9
2026-03-06,,Outbound,DB Query,51.49,1090,40.5
2026-03-07,영업팀,Outbound,HTTPS,61.27,1182,46.9
2026-03-08,개발팀,Outbound,HTTPS,24.96,1292,55.7
2026-03-09,경영지원팀,Outbound,API Call,58.15,686,34.7
2026-03-10,개발팀,Inbound,HTTPS,40.06,795,46.3
2026-03-11,마케팅팀,Inbound,DB Query,58.56,1422,38.0
2026-03-12,경영지원팀,Outbound,HTTPS,38.55,1251,57.0
2026-03-13,개발팀,Outbound,DB Query,22.93,1144,29.8
2026-03-14,개발팀,Outbound,HTTPS,25.59,1205,39.4
2026-03-15,경영지원팀,Outbound,API Call,50.72,1304,48.8
2026-03-16,경영지원팀,Inbound,SFTP,53.9,1038,60.7
2026-03-17,경영지원팀,Inbound,DB Query,36.44,966,44.3
2026-03-18,경영지원팀,Outbound,HTTPS,59.58,1258,39.4
2026-03-19,개발팀,Outbound,SFTP,25.08,906,63.8
2026-03-20,영업팀,Outbound,DB Query,49.01,1322,30.5
2026-03-21,개발팀,Outbound,SFTP,31.83,689,23.0
2026-03-22,마케팅팀,Outbound,SFTP,40.22,1508,49.4
2026-03-23,,Inbound,SFTP,50.71,1341,40.0
2026-03-24,영업팀,Inbound,HTTPS,37.09,1276,34.8
2026-03-25,개발팀,Inbound,SFTP,44.23,1494,52.1
2026-03-26,영업팀,Inbound,SFTP,65.09,1699,47.4
2026-03-27,영업팀,Inbound,DB Query,41.35,1504,39.4
2026-03-28,경영지원팀,Inbound,HTTPS,62.54,647,32.2
2026-03-29,디자인팀,Inbound,HTTPS,33.05,816,53.7
2026-03-30,마케팅팀,Inbound,DB Query,57.95,1012,850.0
2026-03-31,영업팀,Inbound,API Call,71.62,1207,44.0
2026-04-01,개발팀,Inbound,HTTPS,12.93,1355,63.5
2026-04-02,경영지원팀,Inbound,SFTP,38.05,982,34.3
2026-04-03,경영지원팀,Outbound,HTTPS,58.66,1256,29.7
2026-04-04,디자인팀,Inbound,HTTPS,46.95,973,38.1
2026-04-05,경영지원팀,Inbound,HTTPS,55.57,1016,44.5
2026-04-06,영업팀,Inbound,HTTPS,40.94,778,47.4
2026-04-07,영업팀,Outbound,SFTP,51.3,923,42.6
2026-04-08,,Inbound,HTTPS,47.66,794,48.5
2026-04-09,개발팀,Outbound,DB Query,67.52,907,32.5
2026-04-10,개발팀,Inbound,DB Query,53.82,1516,59.4
2026-04-11,개발팀,Inbound,SFTP,55.06,915,44.2
2026-04-12,디자인팀,Inbound,SFTP,43.82,1989,56.2
2026-04-13,영업팀,Inbound,HTTPS,42.69,1347,48.4
2026-04-14,영업팀,Outbound,API Call,43.51,1255,49.6
2026-04-15,마케팅팀,Outbound,SFTP,55.92,942,50.7
2026-04-16,개발팀,Outbound,HTTPS,43.69,1410,49.5
2026-04-17,영업팀,Inbound,DB Query,54.35,1027,51.4
2026-04-18,경영지원팀,Inbound,API Call,81.13,1236,58.3
2026-04-19,개발팀,Outbound,DB Query,63.07,1968,47.0
2026-04-20,개발팀,Inbound,API Call,45.11,1171,52.1
2026-04-21,개발팀,Inbound,SFTP,68.02,1544,44.1
2026-04-22,,Inbound,HTTPS,43.88,989,59.4
2026-04-23,마케팅팀,Inbound,DB Query,19.43,1189,38.2
2026-04-24,경영지원팀,Outbound,API Call,34.88,1731,63.0
2026-04-25,디자인팀,Outbound,HTTPS,21.94,1011,44.6
